Block,Start Date,End Date,Days In Block,Mid-transition Start Date
1,7/1/23,7/26/23,26,7/14/23
2,7/27/2023,8/23/2023,28,8/10/23
3,8/24/2023,9/20/2023,28,9/7/23
4,9/21/2023,10/18/2023,28,10/5/23
5,10/19/2023,11/15/2023,28,11/2/23
6,11/16/2023,12/13/2023,28,11/30/23
7,12/14/2023,1/10/2024,28,12/28/23
8,1/11/2024,2/7/2024,28,1/25/24
9,2/8/2024,3/6/2024,28,2/22/24
10,3/7/2024,4/3/2024,28,3/21/24
11,4/4/2024,5/1/2024,28,4/18/24
12,5/2/2024,5/29/2024,28,5/16/24
13,5/30/2024,6/30/2024,32,6/15/24